Epoch, Loss, Train Accuracy, Test Accuracy, Time
122, 0.2609, 0.9000, 0.8333, 2.3868
123, 0.2593, 0.8941, 0.8333, 2.4062
124, 0.2580, 0.8941, 0.8333, 2.4254
125, 0.2572, 0.8941, 0.8333, 2.4449
126, 0.2568, 0.8941, 0.8333, 2.4642
127, 0.2575, 0.8824, 0.8333, 2.4835
128, 0.2607, 0.8824, 0.8889, 2.5033
129, 0.2720, 0.8882, 0.8333, 2.5228
130, 0.2805, 0.8824, 0.8889, 2.5422
131, 0.2728, 0.8882, 0.8333, 2.5619
132, 0.2524, 0.8882, 0.8333, 2.5811
133, 0.2601, 0.8824, 0.8889, 2.5998
134, 0.2681, 0.8941, 0.8333, 2.6179
135, 0.2521, 0.8824, 0.8333, 2.6370
136, 0.2534, 0.8824, 0.8889, 2.6564
137, 0.2627, 0.8882, 0.8333, 2.6760
138, 0.2507, 0.8941, 0.8333, 2.6954
139, 0.2484, 0.9000, 0.8889, 2.7147
140, 0.2561, 0.8941, 0.8333, 2.7340
141, 0.2488, 0.9000, 0.8333, 2.7534
142, 0.2442, 0.9059, 0.8333, 2.7728
143, 0.2503, 0.8882, 0.8333, 2.7923
144, 0.2498, 0.9000, 0.8333, 2.8113
145, 0.2425, 0.9000, 0.8333, 2.8298
146, 0.2415, 0.9000, 0.8333, 2.8479
147, 0.2456, 0.9059, 0.8333, 2.8674
148, 0.2449, 0.9000, 0.8333, 2.8866
149, 0.2388, 0.9000, 0.8333, 2.9061
150, 0.2372, 0.9000, 0.8333, 2.9254
151, 0.2396, 0.9059, 0.8333, 2.9448
152, 0.2397, 0.9000, 0.8333, 2.9644
153, 0.2371, 0.9000, 0.8333, 2.9839
154, 0.2333, 0.9059, 0.8333, 3.0034
155, 0.2316, 0.9000, 0.8333, 3.0230
156, 0.2319, 0.9118, 0.8333, 3.0422
157, 0.2334, 0.9059, 0.8333, 3.0607
158, 0.2380, 0.9059, 0.8333, 3.0788
159, 0.2467, 0.8882, 0.8889, 3.0983
160, 0.2621, 0.9000, 0.8333, 3.1172
161, 0.2570, 0.9059, 0.8333, 3.1366
162, 0.2363, 0.9118, 0.8333, 3.1560
163, 0.2246, 0.9059, 0.8333, 3.1755
164, 0.2388, 0.8941, 0.8889, 3.1950
165, 0.2443, 0.9118, 0.8333, 3.2144
166, 0.2252, 0.9118, 0.8333, 3.2339
167, 0.2250, 0.9059, 0.8889, 3.2532
168, 0.2382, 0.9059, 0.8333, 3.2717
169, 0.2304, 0.9118, 0.8333, 3.2898
170, 0.2184, 0.9118, 0.8333, 3.3092
171, 0.2226, 0.9118, 0.8333, 3.3286
172, 0.2269, 0.9118, 0.8333, 3.3477
173, 0.2200, 0.9118, 0.8333, 3.3670
174, 0.2140, 0.9118, 0.8333, 3.3871
